,Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ
426,0.0,0.0,43.0,132.0,24.0,52.0,25.0,0,0,0.0
427,0.0,0.0,18.0,78.0,13.0,33.0,17.0,0,0,0.0
428,0.0,0.0,10.0,14.0,0.0,10.0,10.0,0,0,0.0
429,0.0,0.0,96.0,355.0,52.0,112.0,21.0,0,0,0.0
430,0.0,0.0,73.0,222.0,51.0,110.0,30.0,0,0,0.0
431,0.0,0.0,106.0,164.0,34.0,110.0,56.0,0,0,0.0
432,0.0,0.0,162.0,411.0,37.0,220.0,113.0,0,0,0.0
433,0.0,0.0,101.0,382.0,56.0,138.0,98.0,0,0,2.0
434,0.0,0.0,212.0,584.0,82.0,288.875,137.5,0,0,0.0
435,0.0,0.0,68.0,161.0,44.0,102.0,68.0,0,0,4.0
436,0.0,0.0,67.0,239.0,41.0,95.0,59.0,0,0,0.0
437,0.0,0.0,118.0,332.0,45.0,160.0,106.0,0,0,0.0
438,0.0,0.0,44.0,100.0,4.0,50.0,32.0,0,0,0.0
439,0.0,0.0,13.0,49.0,3.0,21.0,11.0,0,0,0.0
440,0.0,0.0,15.0,36.0,11.0,24.0,14.0,0,0,0.0
441,0.0,0.0,24.0,79.0,0.0,28.0,8.0,0,0,0.0
442,0.0,0.0,28.0,93.0,12.0,33.0,11.0,0,0,0.0
443,0.0,0.0,10.0,38.0,1.0,13.0,8.0,0,0,0.0
444,0.0,0.0,26.0,159.0,14.0,31.0,13.0,0,0,0.0
445,0.0,0.0,42.0,153.0,11.0,57.0,34.0,0,0,0.0
446,0.0,0.0,12.0,24.0,15.0,15.0,8.0,0,0,0.0
447,0.0,0.0,32.0,71.0,9.0,36.0,11.0,0,0,0.0
448,0.0,0.0,83.0,361.0,46.0,136.0,55.0,0,0,2.0
449,0.0,0.0,3.0,14.0,0.0,4.0,0.0,0,0,0.0
450,0.0,0.0,42.0,114.0,23.0,42.0,27.0,0,0,0.0
451,0.0,0.0,19.0,210.0,5.0,32.0,4.0,0,0,0.0
452,0.0,0.0,26.0,42.0,16.0,28.0,15.0,0,0,0.0
453,0.0,0.0,38.0,123.0,29.0,41.0,20.0,0,0,1.0
454,0.0,0.0,25.0,72.0,11.0,28.0,15.0,0,0,0.0
455,0.0,0.0,46.0,102.0,16.0,67.0,38.0,0,0,0.0
456,0.0,0.0,24.0,37.0,2.0,42.0,30.0,0,0,0.0
457,0.0,0.0,42.0,193.0,16.0,52.0,31.0,0,0,0.0
458,0.0,0.0,224.375,548.0,69.0,288.875,137.5,0,0,1.0
459,0.0,0.0,118.0,464.0,29.0,100.0,57.0,0,0,0.0
460,0.0,0.0,29.0,72.0,24.0,33.0,17.0,0,0,0.0
461,0.0,0.0,114.0,460.0,36.0,211.0,137.5,0,0,3.0
462,0.0,0.0,209.0,684.375,116.875,218.0,118.0,0,0,9.0
463,0.0,0.0,59.0,265.0,62.0,77.0,54.0,0,0,0.0
464,0.0,0.0,40.0,207.0,45.0,49.0,30.0,0,0,0.0
465,0.0,0.0,50.0,219.0,40.0,52.0,46.0,0,0,0.0
466,0.0,0.0,107.0,355.0,65.0,128.0,67.0,0,0,0.0
467,0.0,0.0,75.0,316.0,57.0,110.0,47.0,0,0,2.0
468,0.0,0.0,101.0,127.0,17.0,102.0,65.0,0,0,1.0
469,0.0,0.0,212.0,555.0,32.0,268.0,137.5,0,0,0.0
470,0.0,0.0,99.0,649.0,97.0,134.0,108.0,0,0,2.0
471,0.0,0.0,202.0,521.0,102.0,288.875,137.5,0,0,0.0
472,0.0,0.0,100.0,264.0,54.0,135.0,81.0,0,0,3.0
473,0.0,0.0,96.0,287.0,47.0,146.0,84.0,0,0,2.0
474,0.0,0.0,127.0,372.0,78.0,194.0,122.0,0,0,3.0
475,0.0,0.0,74.0,244.0,28.0,78.0,39.0,0,0,2.0
476,0.0,0.0,16.0,28.0,3.0,17.0,10.0,0,0,0.0
477,0.0,0.0,25.0,110.0,13.0,26.0,12.0,0,0,0.0
478,0.0,0.0,43.0,113.0,13.0,41.0,13.0,0,0,0.0
479,0.0,0.0,50.0,340.0,31.0,72.0,26.0,0,0,0.0
480,0.0,0.0,15.0,36.0,18.0,21.0,17.0,0,0,0.0
481,0.0,0.0,19.0,45.0,5.0,17.0,6.0,0,0,0.0
482,0.0,0.0,29.0,163.0,27.0,42.0,29.0,0,0,0.0
483,0.0,0.0,10.0,23.0,5.0,13.0,5.0,0,0,0.0
